"","MKTRF","SMB","HML","RMW","CMA","UMD","HMLM","QMJ","BAB","LIQ","STR","LTR","REG","IVOL","SUE","IA","ROE","IMD","NI","BETA","PEAD","FIN"
"13",-0.0329,-0.0282,0.0268,0.0038,0.009,0.0373,0.014099192,0.029114967,-0.00846153,-0.01486163,-0.0137,-2e-04,0.033322,0.1162,0.05374,0.003555,-0.003811,-0.0605,0.0265,0.1018,-0.0362,0.0778
"14",-0.0485,-0.039,0.016,-0.0025,2e-04,0.0216,0.013490049,0.013724662,-0.000236247,-0.01082593,-0.022,-0.0017,0.01522,0.0779,0.006296,0.001066,-0.010371,-0.0563,0.0384,0.0718,0.0142,0.0419
"15",-0.013,-0.0233,0.0262,-0.0104,0.0064,0.0359,0.022751555,-0.004343219,-0.006054573,-0.01272406,0.0043,0.0089,0.0321,0.0367,0.027701,0.005066,-0.019078,-0.0047,0.0247,0.0385,0.0064,0.031
"16",-0.0568,-0.0295,0.0542,-0.0165,0.0273,0.0636,0.042903848,0.011209579,0.012851743,0.02307425,-0.0068,0.0249,0.040693,0.0878,-0.029556,0.031132,-0.005363,-0.0556,0.0599,0.1021,0.015,0.0961
"17",-0.0294,-0.0618,0.0041,0.0194,-0.0151,0.0714,-0.018704998,0.020652732,0.007098777,-0.00261441,-0.0111,-0.0247,0.015846,0.099,0.088049,-0.004114,0.016027,-0.0168,0.0451,0.1279,-1e-04,0.0151
"18",-0.0157,-0.0251,0.0119,-0.0027,0.0021,0.043,0.005545862,0.016150217,-0.00785561,-0.03236227,0.0011,-0.004,0.028658,0.0354,0.080321,0.004364,-0.001103,0.0501,0.0356,0.0628,0.0262,0.046
"19",0.0505,0.0726,-0.0526,-5e-04,-0.0327,-0.1157,-0.006308259,-0.024446616,-0.039443561,0.00254919,0.095,0.0051,-0.042331,-0.1749,-0.06985,-0.057477,0.011376,0.0901,-0.0756,-0.1853,-0.0185,-0.1136
"20",-0.0382,-0.0179,0.0106,-0.0128,0.0129,0.0346,0.005135388,-0.001869719,-0.002673772,0.01591023,0.0171,0.0028,0.014525,0.0495,0.021388,0.016985,0.014899,-0.0133,-1e-04,0.0092,0.0302,0.0286
"21",0.0475,0.0357,0.0224,-0.023,0.0175,-0.07,0.045168237,-0.051998711,0.02244694,0.01708202,0.0165,0.0573,-0.015413,-0.0871,-0.051188,0.021956,-0.013047,0.09,-0.0597,-0.1017,0.0118,-0.0386
"22",-0.0083,-0.003,0.016,-0.0183,0.0268,0.0687,-0.012794767,0.009155962,0.013507516,-0.04303971,0.0182,0.0232,0.040646,0.0242,0.007284,0.026182,0.004903,0.0017,0.0475,0.0411,0.0246,0.0453
